Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1.0,Estimates,WORLD,,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Estimates,More developed regions,a,901.0,0.176,-0.032,0.462,0.722,1.263,1.24,1.085,1.269,2.053,2.247,2.632,2.691,1.881
3.0,Estimates,Less developed regions,b,902.0,-0.082,0.014,-0.195,-0.283,-0.456,-0.414,-0.336,-0.363,-0.544,-0.558,-0.616,-0.597,-0.396
4.0,Estimates,Least developed countries,c,941.0,-0.507,-0.506,-0.692,-0.594,-2.941,-2.35,-3.038,-1.571,0.632,-1.237,-1.213,-2.094,-1.053
5.0,Estimates,"Less developed regions, excluding least developed countries",d,934.0,-0.027,0.081,-0.13,-0.243,-0.132,-0.16,0.027,-0.196,-0.713,-0.455,-0.52,-0.343,-0.278
6.0,Estimates,"Less developed regions, excluding China",,948.0,-0.118,0.001,-0.211,-0.446,-0.55,-0.606,-0.458,-0.496,-0.702,-0.756,-0.721,-0.693,-0.447
7.0,Estimates,High-income countries,e,1503.0,0.434,0.284,0.55,0.743,1.354,1.556,1.486,1.619,2.293,2.623,3.122,3.694,2.378
8.0,Estimates,Middle-income countries,e,1517.0,-0.094,-0.086,-0.195,-0.285,-0.421,-0.368,-0.17,-0.361,-0.774,-0.705,-0.856,-0.912,-0.593
9.0,Estimates,Upper-middle-income countries,e,1502.0,-0.137,-0.113,-0.444,-0.307,-0.473,-0.456,-0.117,-0.326,-0.873,-0.531,-0.466,-0.435,0.06
10.0,Estimates,Lower-middle-income countries,e,1501.0,-0.047,-0.056,0.069,-0.261,-0.366,-0.274,-0.223,-0.396,-0.677,-0.867,-1.206,-1.323,-1.138
11.0,Estimates,Low-income countries,e,1500.0,-1.477,-0.617,-0.674,-0.4,-1.382,-2.615,-4.276,-2.049,0.707,-0.779,-0.379,-1.022,-0.389
12.0,Estimates,Sub-Saharan Africa,f,947.0,-0.22,-0.17,-0.232,-0.082,-0.626,-0.675,-0.87,-0.586,-0.045,-0.37,-0.036,-0.008,-0.204
13.0,Estimates,AFRICA,,903.0,-0.482,-0.424,-0.614,-0.569,-1.161,-0.906,-0.817,-0.625,0.1,-0.661,-0.365,-0.369,-0.52
14.0,Estimates,Eastern Africa,,910.0,-0.401,-0.433,-0.492,-0.247,-0.937,-1.059,-1.074,-0.247,-1.948,0.31,-0.37,-0.535,-0.296
15.0,Estimates,Burundi,,108.0,-5.78,-5.268,-5.796,-3.543,-14.611,-7.704,-3.865,-1.707,-8.437,-12.456,3.062,3.765,0.775
16.0,Estimates,Comoros,,174.0,0.0,-6.76,-8.617,-5.071,-4.538,7.082,-2.702,-2.329,-1.341,-2.336,-3.43,-3.036,-2.69
17.0,Estimates,Djibouti,,262.0,3.037,13.052,36.254,36.413,36.47,62.553,5.112,35.578,-4.802,-4.77,-4.837,-4.963,-3.723
18.0,Estimates,Eritrea,,232.0,0.166,0.45,0.934,0.589,1.032,0.898,0.778,-2.714,-25.384,-4.18,5.695,-7.206,-6.453
19.0,Estimates,Ethiopia,,231.0,-0.21,-0.19,-0.17,-0.316,-0.391,-11.944,1.316,3.513,5.49,-0.503,-0.233,-0.122,-0.128
20.0,Estimates,Kenya,,404.0,0.0,0.0,-0.454,-0.376,-0.29,-0.039,0.042,0.047,1.744,-0.146,0.151,-1.001,-0.232
21.0,Estimates,Madagascar,,450.0,0.0,0.0,0.0,-0.259,-0.537,-0.735,-0.171,-0.149,-0.112,-0.082,-0.059,-0.051,-0.044
22.0,Estimates,Malawi,,454.0,-2.149,-2.496,-3.227,-2.86,-2.118,-1.164,-0.856,22.003,-18.71,-0.701,-0.615,-0.535,-0.375
23.0,Estimates,Mauritius,1.0,480.0,1.001,-2.632,-8.737,-7.383,-4.763,-4.438,-4.366,-6.947,-1.027,-1.531,-3.219,-1.956,0.0
24.0,Estimates,Mayotte,,175.0,30.699,22.873,16.97,2.691,2.406,-3.924,11.927,14.513,19.699,6.821,0.244,-2.068,-1.337
